title,alcohol,volume,sale,savings,price,inventory,link
Glen Moray Elgin Classic Port Cask Finish Single Malt Scotch Whisky,40 %,700 ml,,,$40.50,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glen-moray-elgin-classic-port-cask-finish-single-malt-scotch-whisky/13416339
Glen Garioch 1999 Highlands Scotch Single Malt,56.3 %,750 ml,,,$140.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glen-garioch-1999-highlands-scotch-single-malt/12825237
Glendalough Double Barrel Irish Whiskey,42 %,750 ml,,,$40.50,,https://www.saq.com/page/en/saqcom/irish-whiskey/glendalough-double-barrel-irish-whiskey/13417796
Jack Daniel's Master Distiller Series,43 %,750 ml,,,$38.00,,https://www.saq.com/page/en/saqcom/american-whiskey/jack-daniels-master-distiller-series/12623598
Glen Breton Ice 10 ans Canadian Single Malt Whisky,40 %,700 ml,,,$89.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/glen-breton-ice-10-ans-canadian-single-malt-whisky/12637076
Canadian Club Classic 12 yo,40 %,375 ml,,,$16.50,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-classic-12-yo/13000173
Glen Garioch Scotch Single Malt 1995,55.3 %,750 ml,,,$120.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glen-garioch-scotch-single-malt-1995/11898717
1769 Distillery Canadian Whisky 3 years,42 %,500 ml,,,$54.25,,https://www.saq.com/page/en/saqcom/whisky/1769-distillery-canadian-whisky-3-years/13671137
Glen Breton Single Malt,43 %,750 ml,,,$79.75,,https://www.saq.com/page/en/saqcom/canadian-whisky/glen-breton-single-malt/10835845
Glen Breton Fiddler's Choice Single Malt,43 %,750 ml,,,$56.75,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/glen-breton-fiddlers-choice-single-malt/12444119
The Classic Laddie Scottish Barley,50 %,750 ml,,,$67.00,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-classic-laddie-scottish-barley/12471715
Glen Garioch Founders Reserve Highland Scotch Single Malt,48 %,750 ml,,,$62.25,,https://www.saq.com/page/en/saqcom/scotch-single-malt/glen-garioch-founders-reserve-highland-scotch-single-malt/12401101
Gibson's Finest Venerable 18 ans,40 %,750 ml,,,$90.00,,https://www.saq.com/page/en/saqcom/canadian-whisky/gibsons-finest-venerable-18-ans/13740702
