Canadian Club Premium,40 %,750 ml,,,$24.25,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-premium/42
Canadian Shield,43.2 %,750 ml,,,$35.00,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-shield/12729341
Cedar Ridge Wheat,40 %,750 ml,,,$95.50,,https://www.saq.com/page/en/saqcom/grain-whisky/cedar-ridge-wheat/13166798
Canadian Club 100% Rye,40 %,750 ml,,,$26.25,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-100-rye/12592980
1792 Small Batch Kentucky Straigth Bourbon Whiskey,46.85 %,750 ml,,,$53.00,,https://www.saq.com/page/en/saqcom/american-whiskey/1792-small-batch-kentucky-straigth-bourbon-whiskey/11857026
Bushmills Malt 10 Years Old,40 %,750 ml,,,$45.00,,https://www.saq.com/page/en/saqcom/irish-whiskey/bushmills-malt-10-years-old/131870
Cedar Ridge Single Malt,40 %,750 ml,,,$95.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/cedar-ridge-single-malt/13040651
Canadian Club Premium,40 %,1.14 L,,,$36.50,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-premium/11495424
Bulleit Rye,45 %,750 ml,,,$35.25,,https://www.saq.com/page/en/saqcom/whisky/bulleit-rye/12730271
Canadian Club Classic 12 Years Old,40 %,750 ml,,,$28.25,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-classic-12-years-old/126466
Hell Cat Maggie,40 %,750 ml,,,$35.25,,https://www.saq.com/page/en/saqcom/irish-whiskey/hell-cat-maggie/13064484
Bushmills Original,40 %,750 ml,,,$32.25,,https://www.saq.com/page/en/saqcom/irish-whiskey/bushmills-original/10753874
Green Spot Irish Whiskey,40 %,700 ml,,,$81.00,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/green-spot-irish-whiskey/13415820
Rozelieures Single Malt Whisky Rare Collection,40 %,700 ml,,,$86.75,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/rozelieures-single-malt-whisky-rare-collection/13485220
