title,alcohol,volume,sale,savings,price,inventory,link
Canadian Club Whisky,40.0%,750 mL ,On sale!,$1.25,$26.25,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/42
Bell's Original Scotch Whisky,39.9%,750 mL ,,,$26.25,,http://www.lcbo.com/lcbo/product/bell-s-original-scotch-whisky/8599
Glenfiddich Single Malt 12 Year Old Scotch Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-12-year-old-scotch-whisky/12385
Johnnie Walker Black Label 12 Year Old Scotch Whisky,40.0%,750 mL ,,,$56.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-12-year-old-scotch-whisky/7880
Alberta Premium Whisky,40.0%,375 mL ,,,$14.70,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/3871
Seagrams V.O. Whisky,40.0%,750 mL ,,,$26.25,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/307
Aberlour A'Bunadh Scotch Whisky,59.5%,750 mL ,,,$99.95,,http://www.lcbo.com/lcbo/product/aberlour-a-bunadh-scotch-whisky/573352
Wiser's Special Blend Whisky,40.0%,375 mL ,,,$14.70,,http://www.lcbo.com/lcbo/product/wiser-s-special-blend-whisky/3517
Oban 14 Year Old Single Malt Scotch Whisky,43.01%,750 mL ,,,$109.95,,http://www.lcbo.com/lcbo/product/oban-14-year-old-single-malt-scotch-whisky/243824
Johnnie Walker Red Label Scotch Whisky,40.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/1099
Crown Royal Limited Edition Whisky,40.0%,750 mL ,,,$40.95,,http://www.lcbo.com/lcbo/product/crown-royal-limited-edition-whisky/246603
J.P. Wiser's Deluxe Whisky,40.0%,1750 mL ,,,$60.75,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/33928
Glenmorangie Original Single Malt Scotch Whisky,40.0%,750 mL ,,,$72.10,,http://www.lcbo.com/lcbo/product/glenmorangie-original-single-malt-scotch-whisky/298638
Grant's Family Reserve Scotch Whisky,40.0%,1140 mL ,,,$40.35,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/605931
Lagavulin 16 Year Old Malt Scotch Whisky,42.9%,750 mL ,,,$124.95,,http://www.lcbo.com/lcbo/product/lagavulin-16-year-old-malt-scotch-whisky/207126
Canadian Club Classic 12 Year Old,40.0%,1140 mL ,On sale!,$1.20,$40.05,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311936
Jim Beam White Label Bourbon,40.0%,750 mL ,,,$27.95,,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/21378
Crown Royal Maple Finished,40.0%,750 mL ,,,$29.45,,http://www.lcbo.com/lcbo/product/crown-royal-maple-finished/312801
Canadian Club Classic 12 Year Old,40.0%,375 mL ,,,$16.35,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311910
Canadian Club Classic 12 Year Old,40.0%,1750 mL ,,,$61.45,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311944
Forty Creek Copper Pot Reserve Whisky,43.0%,750 mL ,,,$30.95,,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/285254
Dalwhinnie 15 Year Old Scotch Whisky,43.0%,750 mL ,,,$94.95,,http://www.lcbo.com/lcbo/product/dalwhinnie-15-year-old-scotch-whisky/238097
Canadian Club Classic 12 Year Old,40.0%,750 mL ,,,$29.45,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311928
Jim Beam Black Kentucky Bourbon Aged 6 Years,43.0%,750 mL ,On sale!,$4.00,$27.95,,http://www.lcbo.com/lcbo/product/jim-beam-black-kentucky-bourbon-aged-6-years/324863
Compass Box Great King Street Artist's Blend,43.0%,750 mL ,,,$55.05,,http://www.lcbo.com/lcbo/product/compass-box-great-king-street-artist-s-blend/286310
Johnnie Walker Red Label,40.0%,200 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217984
The Macallan Sienna,43.0%,750 mL ,,,$189.95,,http://www.lcbo.com/lcbo/product/the-macallan-sienna/334086
Crown Royal,40.0%,1140 mL ,,,$40.95,,http://www.lcbo.com/lcbo/product/crown-royal/217950
Devil's Cut,45.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/devil-s-cut/272161
The Macallan Gold,40.0%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/the-macallan-gold/334060
Wild Turkey 81 Proof Kentucky Straight Bourbon,40.5%,750 mL ,,,$32.80,,http://www.lcbo.com/lcbo/product/wild-turkey-81-proof-kentucky-straight-bourbon/281824
Crown Royal Black,45.0%,1140 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/crown-royal-black/276618
Basil Hayden Kentucky Bourbon,40.0%,750 mL ,,,$53.95,,http://www.lcbo.com/lcbo/product/basil-hayden-kentucky-bourbon/326025
McClelland's Single Malt Highland Scotch,40.0%,750 mL ,,,$45.20,,http://www.lcbo.com/lcbo/product/mcclelland-s-single-malt-highland-scotch/259333
Gibson's Finest Rare 12 Year Old Whisky,40.0%,1140 mL ,,,$46.25,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/215871
Grand Macnish,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/grand-macnish/217190
Johnnie Walker Black Label,40.0%,1140 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label/217802
Hiram Walker Special Old Rye Whisky,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/hiram-walker-special-old-rye-whisky/226316
Glendronach 12 Year Old Single Highland Malt Scotch Whisky,43.0%,750 mL ,,,$77.70,,http://www.lcbo.com/lcbo/product/glendronach-12-year-old-single-highland-malt-scotch-whisky/601872
Baker's Kentucky Straight Bourbon Whiskey,53.5%,750 mL ,,,$69.90,,http://www.lcbo.com/lcbo/product/baker-s-kentucky-straight-bourbon-whiskey/253658
Islay Mist Scotch 8 Year Old Scotch Whisky,40.0%,750 mL ,On sale!,$2.00,$29.95,,http://www.lcbo.com/lcbo/product/islay-mist-scotch-8-year-old-scotch-whisky/333070
Johnnie Walker Red Label,40.0%,1140 mL ,On sale!,$2.00,$42.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217794
Johnnie Walker Gold Reserve,40.0%,750 mL ,,,$84.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-gold-reserve/291278
The Macallan Amber,40.0%,750 mL ,,,$109.95,,http://www.lcbo.com/lcbo/product/the-macallan-amber/334078
Cardhu Single Malt Scotch,40.0%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/cardhu-single-malt-scotch/289496
Gibson's Finest Sterling Edition Whisky,40.0%,1140 mL ,,,$41.25,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215889
Chivas Regal 12 Year Old Scotch Whisky,40.0%,750 mL ,,,$53.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/7617
Dillon's The White Rye,40.0%,750 mL ,,,$37.95,,http://www.lcbo.com/lcbo/product/dillon-s-the-white-rye/337600
Rittenhouse Straight Rye Whisky 100 Bond,50.0%,750 mL ,,,$46.95,,http://www.lcbo.com/lcbo/product/rittenhouse-straight-rye-whisky-100-bond/230813
Johnnie Walker Black Label,40.0%,200 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label/217836
Dewar's White Label,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/dewar-s-white-label/217992
