title,alcohol,volume,sale,savings,price,inventory,link
Villa Antinori Toscana IGT,13.5%,750 mL ,,,$26.30,,http://www.lcbo.com/lcbo/product/villa-antinori-toscana-igt/53876
Beringer Knights Valley Cabernet Sauvignon,13.0%,750 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/beringer-knights-valley-cabernet-sauvignon/352583
Jackson-Triggs Cabernet Sauvignon,12.5%,1500 mL ,,,$18.95,,http://www.lcbo.com/lcbo/product/jackson-triggs-cabernet-sauvignon/331025
Marques De Riscal Rioja Reserva,14.0%,750 mL ,,,$25.50,,http://www.lcbo.com/lcbo/product/marques-de-riscal-rioja-reserva/32656
Pisse-Dru Beaujolais,12.0%,750 mL ,,,$13.95,,http://www.lcbo.com/lcbo/product/pisse-dru-beaujolais/2881
Flat Rock Pinot Noir,13.0%,750 mL ,,,$20.95,,http://www.lcbo.com/lcbo/product/flat-rock-pinot-noir/1545
Mommessin Cuvee St Pierre Rouge,12.0%,750 mL ,,,$8.45,,http://www.lcbo.com/lcbo/product/mommessin-cuvee-st-pierre-rouge/513
Cellier Des Dauphins Carte Noire CdRhone AOC,13.5%,750 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/cellier-des-dauphins-carte-noire-cdrhone-aoc/110197
Château des Charmes Cabernet Merlot VQA,12.6%,375 mL ,,,$6.95,,http://www.lcbo.com/lcbo/product/chateau-des-charmes-cabernet-merlot-vqa/38810
Peller Family Vineyards Cabernet Merlot,12.5%,1000 mL ,,,$11.95,,http://www.lcbo.com/lcbo/product/peller-family-vineyards-cabernet-merlot/16345
Concha Y Toro Frontera Cabernet Sauvignon,12.0%,750 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/concha-y-toro-frontera-cabernet-sauvignon/116426
JJ McWilliam Shiraz Cabernet,13.5%,750 mL ,,,$10.35,,http://www.lcbo.com/lcbo/product/jj-mcwilliam-shiraz-cabernet/16741
Pelee Island Merlot,12.2%,1500 mL ,,,$18.95,,http://www.lcbo.com/lcbo/product/pelee-island-merlot/594168
Santa Rita 120 Reserva Especial Cabernet Sauvignon,13.0%,750 mL ,On sale!,$2.00,$9.75,,http://www.lcbo.com/lcbo/product/santa-rita-120-reserva-especial-cabernet-sauvignon/218644
Monte Antico,13.0%,750 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/monte-antico/69377
Jackson-Triggs Merlot,12.0%,750 mL ,,,$11.45,,http://www.lcbo.com/lcbo/product/jackson-triggs-merlot/383711
Caliterra Cabernet Sauvignon,13.5%,750 mL ,,,$10.95,,http://www.lcbo.com/lcbo/product/caliterra-cabernet-sauvignon/257329
Georges Duboeuf Beaujolais AOC,12.0%,750 mL ,,,$13.45,,http://www.lcbo.com/lcbo/product/georges-duboeuf-beaujolais-aoc/212480
Santa Carolina Reserva Merlot,13.0%,750 mL ,On sale!,$2.00,$11.95,,http://www.lcbo.com/lcbo/product/santa-carolina-reserva-merlot/324590
Sterling Napa Valley Cabernet Sauvignon,12.5%,750 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/sterling-napa-valley-cabernet-sauvignon/314575
Carlo Rossi California Red,12.0%,1500 mL ,,,$14.90,,http://www.lcbo.com/lcbo/product/carlo-rossi-california-red/70813
Hardys Stamp Series Shiraz Cabernet Sauvignon,13.5%,750 mL ,On sale!,$1.50,$8.45,,http://www.lcbo.com/lcbo/product/hardys-stamp-series-shiraz-cabernet-sauvignon/338012
Sella & Mosca Cannonau di Sardegna Riserva,13.5%,750 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/sella-mosca-cannonau-di-sardegna-riserva/425488
Nederburg The Winemaster's Cabernet Sauvignon,14.0%,750 mL ,,,$13.95,,http://www.lcbo.com/lcbo/product/nederburg-the-winemaster-s-cabernet-sauvignon/111526
Frescobaldi Remole Toscana IGT,12.5%,750 mL ,,,$13.45,,http://www.lcbo.com/lcbo/product/frescobaldi-remole-toscana-igt/105429
