title,price,sale,volume,savings,link
Cedar Ridge Wheat,$95.50,,750 ml,,https://www.saq.com/page/en/saqcom/grain-whisky/cedar-ridge-wheat/13166798
Canadian Shield,$35.00,,750 ml,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-shield/12729341
Cedar Ridge Single Malt,$95.00,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/cedar-ridge-single-malt/13040651
1792 Small Batch Kentucky Straigth Bourbon Whiskey,$53.00,,750 ml,,https://www.saq.com/page/en/saqcom/american-whiskey/1792-small-batch-kentucky-straigth-bourbon-whiskey/11857026
Canadian Club 100% Rye,$26.25,,750 ml,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-100-rye/12592980
Bushmills Original,$32.25,,750 ml,,https://www.saq.com/page/en/saqcom/irish-whiskey/bushmills-original/10753874
Caribou Crossing Single Barrel,$94.75,,750 ml,,https://www.saq.com/page/en/saqcom/canadian-whisky/caribou-crossing-single-barrel/12183617
Canadian Club Premium,$22.75,On sale!,750 ml,$1.50,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-premium/42
Canadian Club Premium,$34.00,On sale!,1.14 L,$2.50,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-premium/11495424
Canadian Club Classic 12 Years Old,$28.25,,750 ml,,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-classic-12-years-old/126466
Macallan 1824 Amber Scotch Single Malt,$93.75,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/macallan-1824-amber-scotch-single-malt/11975401
Bulleit Rye,$35.25,,750 ml,,https://www.saq.com/page/en/saqcom/whisky/bulleit-rye/12730271
Highland Park Dark Origin,$100.25,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/highland-park-dark-origin/12479320
Bushmills Malt 10 Years Old,$45.00,,750 ml,,https://www.saq.com/page/en/saqcom/irish-whiskey/bushmills-malt-10-years-old/131870
Macallan M Highland Scotch Single Malt,"$6,500.00",,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/macallan-m-highland-scotch-single-malt/12176960
The Balvenie 12 ans Single Barrel,$141.00,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-12-ans-single-barrel/12669449
Woodford Reserve Kentucky Bourbon,$25.15,,375 ml,,https://www.saq.com/page/en/saqcom/american-whiskey/woodford-reserve-kentucky-bourbon/12762889
The Balvenie 15 ans Single Barrel Sherry Cask,$249.75,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-15-ans-single-barrel-sherry-cask/12361188
The Balvenie 14 Years Old Caribbean Cask Scotch Single Malt,$127.75,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-balvenie-14-years-old-caribbean-cask-scotch-single-malt/11909965
Old Pulteney 17 years Highlands Scotch Single Malt,$168.00,,700 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/old-pulteney-17-years-highlands-scotch-single-malt/10817516
Wiser's Spiced Torched Toffee,$29.20,,750 ml,,https://www.saq.com/page/en/saqcom/canadian-whisky/wisers-spiced-torched-toffee/12729915
Wild Turkey 101 Kentucky Straight Bourbon,$36.50,,750 ml,,https://www.saq.com/page/en/saqcom/american-whiskey/wild-turkey-101-kentucky-straight-bourbon/13416005
Highland Harvest Organic Sauternes Finish Scotch Single Malt,$90.75,,700 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/highland-harvest-organic-sauternes-finish-scotch-single-malt/12361508
Warenghem Armorik Whisky Single Malt,$53.00,,700 ml,,https://www.saq.com/page/en/saqcom/whisky/warenghem-armorik-whisky-single-malt/11691708
Virginia Black Whiskey,$49.25,,750 ml,,https://www.saq.com/page/en/saqcom/american-whiskey/virginia-black-whiskey/13343053
Ballantine's 21 ans Scotch Blended,$163.50,,700 ml,,https://www.saq.com/page/en/saqcom/scotch-blended/ballantines-21-ans-scotch-blended/10866916
Wild Turkey Kentucky Straight Rye,$32.50,,750 ml,,https://www.saq.com/page/en/saqcom/american-whiskey/wild-turkey-kentucky-straight-rye/13064610
Westland Peated American Single Malt,$107.00,,700 ml,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/westland-peated-american-single-malt/13092549
Westland Sherrywood American Single Malt,$107.00,,700 ml,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/westland-sherrywood-american-single-malt/13092611
Aberlour 10 ans Highland Scotch Single Malt,$55.25,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/aberlour-10-ans-highland-scotch-single-malt/258582
Uisce Beatha Real Irish Whiskey,$55.75,,750 ml,,https://www.saq.com/page/en/saqcom/irish-whiskey/uisce-beatha-real-irish-whiskey/12730326
Tyrconnell 10 ans Madeira Cask Single Malt,$108.25,,700 ml,,https://www.saq.com/page/en/saqcom/irish-whiskey/tyrconnell-10-ans-madeira-cask-single-malt/11608206
Tullibardine Sovereign Single Malt Scotch Whisky,$71.25,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/tullibardine-sovereign-single-malt-scotch-whisky/12727098
Tullibardine 228 Burgundy Finish Highlands Scotch Single Malt,$73.25,,750 ml,,https://www.saq.com/page/en/saqcom/scotch-single-malt/tullibardine-228-burgundy-finish-highlands-scotch-single-malt/11997731
Warenghem WB Blended Breton,$34.25,,700 ml,,https://www.saq.com/page/en/saqcom/scotch-and-whisky/warenghem-wb-blended-breton/12183107
