title,alcohol,volume,sale,savings,price,inventory,link
Glendronach 18 Years Old Allardice Highland Single Malt,46%,750 mL bottle,,,$209.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glendronach-18-years-old-allardice-highland-single-malt-288233
Glenmorangie Quinta Ruban Highland Single Malt Scotch Whisky,46%,750 mL bottle,,,$97.15,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glenmorangie-quinta-ruban-highland-single-malt-scotch-whisky-241869
Glenmorangie Original Highland Single Malt Scotch Whisky,40%,750 mL bottle,,,$70.15,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glenmorangie-original-highland-single-malt-scotch-whisky-298638
Glenmorangie Nectar D'Or Highland Single Malt Scotch Whisky,46%,750 mL bottle,,,$121.60,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glenmorangie-nectar-dor-highland-single-malt-scotch-whisky-241984
Glenmorangie Lasanta Extra Matured Highland Single Malt Scotch Whisky,46%,750 mL bottle,,,$92.85,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glenmorangie-lasanta-extra-matured-highland-single-malt-scotch-whisky-241943
Glenkinchie Distillers Edition,43%,750 mL bottle,,,$99.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glenkinchie-distillers-edition-645754
Glenmorangie 18 Year Old Highland Single Malt Scotch Whisky,43%,750 mL bottle,,,$198.90,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glenmorangie-18-year-old-highland-single-malt-scotch-whisky-398784
Glenkinchie 12 Years Old Lowland Single Malt Scotch Whisky,43%,750 mL bottle,,,$89.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/glenkinchie-12-years-old-lowland-single-malt-scotch-whisky-69435
Jack Daniel's Red Dog Saloon,40%,750 mL bottle,,,$36.40,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jack-daniels-red-dog-saloon-526087
Ledaig Pedro Ximénez Finish 19-Year-Old Mull Single Malt Scotch Whisky 1998,55.7%,750 mL bottle,,,$329.00,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/ledaig-pedro-xim%C3%A9nez-finish-19-year-old-mull-single-malt-scotch-whisky-1998-647164
Jack Daniel's Rye,45%,750 mL bottle,,,$36.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/jack-daniels-rye-526079
Roe & Co Blended Irish Whiskey,45%,750 mL bottle,,,$59.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/roe-co-blended-irish-whiskey%09-10558
Rock Oyster 18,46.8%,700 mL bottle,,,$162.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/rock-oyster-18-644138
Larceny Kentucky Straight Bourbon,46%,750 mL bottle,,,$44.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/larceny-kentucky-straight-bourbon-512194
Ledaig 10 Year Old Single Malt Scotch Whisky,46.3%,750 mL bottle,,,$70.45,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/ledaig-10-year-old-single-malt-scotch-whisky-315721
Laphroaig Triple Wood Islay Single Malt Scotch Whisky,48%,750 mL bottle,,,$94.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/laphroaig-triple-wood-islay-single-malt-scotch-whisky-272195
Blenders Pride Rare Premium Whisky,42.8%,750 mL bottle,,,$39.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/blenders-pride-rare-premium-whisky-831503
Black Dog Triple Gold Reserve,42.8%,750 mL bottle,,,$59.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/black-dog-triple-gold-reserve-278423
Black Bull 12 Year Old Scotch Whisky,50%,700 mL bottle,,,$71.95,,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/whisky-whiskey-15020/black-bull-12-year-old-scotch-whisky-272336
