title,alcohol,volume,sale,savings,price,inventory,link
Woodford Reserve Distiller's Select,45.2%,375 mL ,,,$25.95,,http://www.lcbo.com/lcbo/product/woodford-reserve-distiller-s-select/15537
Forty Creek Barrel Select Whisky,40.0%,1750 mL ,,,$61.00,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/8805
Aberlour A'Bunadh Scotch Whisky,59.5%,750 mL ,,,$99.95,,http://www.lcbo.com/lcbo/product/aberlour-a-bunadh-scotch-whisky/573352
J.P. Wiser's Deluxe Whisky,40.0%,375 mL ,,,$15.75,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/9522
Dewar's White Label Scotch Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/dewar-s-white-label-scotch-whisky/11130
Canadian Club Premium (PET),40.0%,750 mL ,On sale!,$1.25,$26.70,,http://www.lcbo.com/lcbo/product/canadian-club-premium-pet/103341
Canada Gold Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/canada-gold-whisky/261768
J.P. Wiser's Deluxe,40.0%,1140 mL ,,,$41.10,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe/216689
J.P. Wiser's 18 Year Old Canadian Whisky,40.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-18-year-old-canadian-whisky/207639
Maker's Mark Kentucky Bourbon,45.0%,750 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/maker-s-mark-kentucky-bourbon/103747
Lagavulin 16 Year Old Malt Scotch Whisky,42.9%,750 mL ,,,$124.95,,http://www.lcbo.com/lcbo/product/lagavulin-16-year-old-malt-scotch-whisky/207126
Golden Wedding Whisky,40.0%,1750 mL ,,,$60.95,,http://www.lcbo.com/lcbo/product/golden-wedding-whisky/114934
Walker's Special Old Whisky,40.0%,200 mL ,,,$8.35,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky/251397
The Balvenie 12 Years Old Doublewood Scotch Whisky,40.0%,750 mL ,,,$95.05,,http://www.lcbo.com/lcbo/product/the-balvenie-12-years-old-doublewood-scotch-whisky/387316
Johnnie Walker Red Label,40.0%,1140 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217794
Johnnie Walker Black Label,40.0%,200 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label/217836
