title,alcohol,volume,sale,savings,price,inventory,link
Bell's Original Scotch Whisky,39.9%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/bell-s-original-scotch-whisky/8599
Woodford Reserve Distiller's Select,45.2%,375 mL ,,,$26.95,,http://www.lcbo.com/lcbo/product/woodford-reserve-distiller-s-select/15537
Jack Daniel's Tennessee Whiskey,40.0%,200 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215624
Glenfiddich 12 Year Old Single Malt Scotch Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/glenfiddich-12-year-old-single-malt-scotch-whisky/12385
J.P. Wiser's Deluxe Whisky,40.0%,375 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/9522
Knob Creek Bourbon,50.0%,750 mL ,On sale!,$7.00,$42.95,,http://www.lcbo.com/lcbo/product/knob-creek-bourbon/326009
Chivas Regal 18 Year Old Scotch Whisky,40.0%,750 mL ,,,$99.95,,http://www.lcbo.com/lcbo/product/chivas-regal-18-year-old-scotch-whisky/582205
J.P. Wiser's Deluxe Whisky,40.0%,3000 mL ,,,$132.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/602730
Basil Hayden Kentucky Bourbon,40.0%,750 mL ,On sale!,$5.00,$52.95,,http://www.lcbo.com/lcbo/product/basil-hayden-kentucky-bourbon/326025
Canadian Club Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/217687
Talisker Storm Single Malt Scotch Whisky,46.0%,750 mL ,,,$88.50,,http://www.lcbo.com/lcbo/product/talisker-storm-single-malt-scotch-whisky/383216
Highland Park 12 Year Old Single Malt Scotch Whisky,43.0%,750 mL ,On sale!,$5.00,$64.95,,http://www.lcbo.com/lcbo/product/highland-park-12-year-old-single-malt-scotch-whisky/204560
The Balvenie 12 Year Old Single Barrel Scotch Whisky,47.8%,750 mL ,,,$149.95,,http://www.lcbo.com/lcbo/product/the-balvenie-12-year-old-single-barrel-scotch-whisky/361055
Bell's Original Scotch Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/bell-s-original-scotch-whisky/217042
Crown Royal Black Whisky,45.0%,1140 mL ,,,$45.00,,http://www.lcbo.com/lcbo/product/crown-royal-black-whisky/276618
West Cork Bourbon Cask Irish Whiskey,40.0%,700 mL ,,,$44.05,,http://www.lcbo.com/lcbo/product/west-cork-bourbon-cask-irish-whiskey/367722
Bulleit Rye,45.0%,750 mL ,,,$42.90,,http://www.lcbo.com/lcbo/product/bulleit-rye/350611
Jameson Irish Whiskey,40.0%,375 mL ,,,$18.45,,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/230987
George Dickel Tennessee Whisky No. 12,45.0%,750 mL ,,,$31.65,,http://www.lcbo.com/lcbo/product/george-dickel-tennessee-whisky-no-12/260752
Jura 12 Year Old Single Malt,43.0%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/jura-12-year-old-single-malt/38927
Jameson Irish Whiskey,40.0%,200 mL ,,,$10.55,,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/320804
Kilbeggan Irish Whiskey,40.0%,750 mL ,,,$36.45,,http://www.lcbo.com/lcbo/product/kilbeggan-irish-whiskey/334045
Jameson Irish Whiskey,40.0%,1140 mL ,,,$48.45,,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/207613
Highland Park 10 Year Old Single Malt Scotch Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/highland-park-10-year-old-single-malt-scotch-whisky/334029
Jameson Irish Whiskey,40.0%,750 mL ,On sale!,$3.00,$32.45,,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/10157
Johnnie Walker Blue Label Scotch Whisky,40.0%,750 mL ,,,$299.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-blue-label-scotch-whisky/308155
Tullamore Irish Whiskey,40.0%,750 mL ,,,$36.00,,http://www.lcbo.com/lcbo/product/tullamore-irish-whiskey/71746
Buffalo Trace Kentucky Straight Bourbon Whiskey,45.0%,750 mL ,,,$42.95,,http://www.lcbo.com/lcbo/product/buffalo-trace-kentucky-straight-bourbon-whiskey/605063
Jameson Black Barrel,40.0%,750 mL ,,,$49.95,,http://www.lcbo.com/lcbo/product/jameson-black-barrel/292615
Deanston Virgin Oak,46.3%,750 mL ,On sale!,$3.00,$46.95,,http://www.lcbo.com/lcbo/product/deanston-virgin-oak/375568
Bowmore Darkest 15 Year Old Islay Single Malt Scotch Whisky,43.0%,750 mL ,,,$95.95,,http://www.lcbo.com/lcbo/product/bowmore-darkest-15-year-old-islay-single-malt-scotch-whisky/503649
Elijah Craig Small Batch Bourbon Whiskey,47.0%,750 mL ,,,$49.95,,http://www.lcbo.com/lcbo/product/elijah-craig-small-batch-bourbon-whiskey/547729
Laphroaig Quarter Cask Islay Single Malt Scotch Whisky,48.0%,750 mL ,,,$90.40,,http://www.lcbo.com/lcbo/product/laphroaig-quarter-cask-islay-single-malt-scotch-whisky/19158
Auchentoshan Three Wood Lowland Single Malt Scotch Whisky,43.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/auchentoshan-three-wood-lowland-single-malt-scotch-whisky/720532
Lagavulin 16 Year Old Islay Single Malt Scotch Whisky,42.9%,750 mL ,,,$129.95,,http://www.lcbo.com/lcbo/product/lagavulin-16-year-old-islay-single-malt-scotch-whisky/207126
Writers' Tears Copper Pot Irish Whiskey,40.0%,700 mL ,,,$50.45,,http://www.lcbo.com/lcbo/product/writers-tears-copper-pot-irish-whiskey/271106
Maker's Mark 46,46.4%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/maker-s-mark-46/225565
Islay Mist Scotch 8 Year Old Scotch Whisky,40.0%,750 mL ,,,$32.95,,http://www.lcbo.com/lcbo/product/islay-mist-scotch-8-year-old-scotch-whisky/333070
Jameson Irish Whiskey,40.0%,1750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/275933
Johnnie Walker Gold Label Reserve Scotch Whisky,40.0%,750 mL ,,,$85.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-gold-label-reserve-scotch-whisky/291278
Stalk & Barrel Single Malt Whisky,46.0%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/stalk-barrel-single-malt-whisky/382770
Chivas Regal 12 Year Old Scotch Whisky,40.0%,750 mL ,On sale!,$5.00,$49.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/7617
Gibson's Finest Sterling Edition Whisky,40.0%,1140 mL ,On sale!,$2.50,$40.10,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215889
Cardhu 12 Year Old Single Malt Scotch Whisky,40.0%,750 mL ,,,$76.95,,http://www.lcbo.com/lcbo/product/cardhu-12-year-old-single-malt-scotch-whisky/289496
Rittenhouse Straight Rye Whisky 100 Bottled In Bond,50.0%,750 mL ,,,$49.95,,http://www.lcbo.com/lcbo/product/rittenhouse-straight-rye-whisky-100-bottled-in-bond/230813
Glenmorangie Original Highland Single Malt Scotch Whisky,40.0%,750 mL ,,,$71.85,,http://www.lcbo.com/lcbo/product/glenmorangie-original-highland-single-malt-scotch-whisky/298638
Grant's Family Reserve Scotch Whisky,40.0%,200 mL ,,,$9.00,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/476382
Glenfiddich 14 Year Old Rich Oak Single Malt Scotch Whisky,40.0%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/glenfiddich-14-year-old-rich-oak-single-malt-scotch-whisky/315788
Canadian Club Classic 12 Year Old,40.0%,375 mL ,,,$16.35,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311910
Canadian Club Classic 12 Year Old,40.0%,1140 mL ,,,$41.95,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311936
Auchentoshan American Oak Single Malt Scotch Whisky,40.0%,750 mL ,,,$56.95,,http://www.lcbo.com/lcbo/product/auchentoshan-american-oak-single-malt-scotch-whisky/395582
Craigellachie 13 Year Old Speyside Single Malt Scotch Whisky,46.0%,750 mL ,,,$80.15,,http://www.lcbo.com/lcbo/product/craigellachie-13-year-old-speyside-single-malt-scotch-whisky/400069
Dewar's White Label,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/dewar-s-white-label/217992
Tomatin 12 Year Old Highland Single Malt Scotch Whisky,43.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/tomatin-12-year-old-highland-single-malt-scotch-whisky/364349
Crown Royal Apple,35.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/crown-royal-apple/403519
Forty Creek Spike Honey Spiced Whisky,40.0%,750 mL ,,,$28.95,,http://www.lcbo.com/lcbo/product/forty-creek-spike-honey-spiced-whisky/397109
Glenmorangie Nectar D'Or Highland Single Malt Scotch Whisky,46.0%,750 mL ,,,$121.05,,http://www.lcbo.com/lcbo/product/glenmorangie-nectar-d-or-highland-single-malt-scotch-whisky/241984
Highland Park 18 Year Old Single Malt Scotch Whisky,43.0%,750 mL ,,,$199.95,,http://www.lcbo.com/lcbo/product/highland-park-18-year-old-single-malt-scotch-whisky/500231
Canadian Club 100% Rye,40.0%,750 mL ,On sale!,$2.20,$26.75,,http://www.lcbo.com/lcbo/product/canadian-club-100-rye/390583
Lot No. 40 Single Copper Pot Still Canadian Whisky,43.0%,750 mL ,,,$37.95,,http://www.lcbo.com/lcbo/product/lot-no-40-single-copper-pot-still-canadian-whisky/382861
Aberlour 12 Year Old Single Malt Scotch Whisky,40.0%,750 mL ,,,$64.95,,http://www.lcbo.com/lcbo/product/aberlour-12-year-old-single-malt-scotch-whisky/352104
Port Charlotte Scottish Barley Heavily Peated Islay Single Malt Scotch Whisky,50.0%,750 mL ,,,$108.45,,http://www.lcbo.com/lcbo/product/port-charlotte-scottish-barley-heavily-peated-islay-single-malt-scotch-whisky/368183
Glen Breton Rare Canadian Single Malt Whisky,43.0%,750 mL ,On sale!,$5.00,$74.45,,http://www.lcbo.com/lcbo/product/glen-breton-rare-canadian-single-malt-whisky/601146
Forty Creek Copper Pot Reserve Whisky (PET),43.0%,1750 mL ,,,$62.95,,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky-pet/397091
Forty Creek Barrel Select Whisky,40.0%,1140 mL ,On sale!,$1.00,$40.10,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/350629
Forty Creek Copper Pot Reserve Whisky,43.0%,1140 mL ,,,$46.45,,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/350207
Bowmore 12 Year Old Islay Single Malt Scotch Whisky,40.0%,750 mL ,On sale!,$5.00,$57.95,,http://www.lcbo.com/lcbo/product/bowmore-12-year-old-islay-single-malt-scotch-whisky/330803
Jack Daniel's Tennessee Whiskey,40.0%,750 mL ,,,$36.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/41384
Talisker 10 Year Old Single Malt Scotch Whisky,45.8%,750 mL ,,,$104.95,,http://www.lcbo.com/lcbo/product/talisker-10-year-old-single-malt-scotch-whisky/249680
Aberfeldy 12 Year Old,40.0%,750 mL ,,,$60.95,,http://www.lcbo.com/lcbo/product/aberfeldy-12-year-old/255281
Ballantine's Blended Scotch Whisky,40.0%,375 mL ,,,$15.25,,http://www.lcbo.com/lcbo/product/ballantine-s-blended-scotch-whisky/5041
Gibson's Finest Rare 12 Year Old Whisky,40.0%,750 mL ,,,$33.45,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/3558
Wild Turkey 81 Proof Kentucky Straight Bourbon,40.5%,750 mL ,,,$36.20,,http://www.lcbo.com/lcbo/product/wild-turkey-81-proof-kentucky-straight-bourbon/281824
Canadian Club Reserve,40.0%,750 mL ,,,$28.45,,http://www.lcbo.com/lcbo/product/canadian-club-reserve/311977
Bruichladdich The Classic Laddie Scottish Barley,50.0%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/bruichladdich-the-classic-laddie-scottish-barley/387423
Canadian Club Classic 12 Year Old,40.0%,750 mL ,On sale!,$3.00,$26.95,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311928
Johnnie Walker 18 Year Old Scotch Whisky,40.0%,750 mL ,,,$149.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-18-year-old-scotch-whisky/292805
Johnnie Walker Red Label Scotch Whisky,40.0%,200 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/217984
Jim Beam Black Kentucky Bourbon 6 Year Old,43.0%,750 mL ,,,$32.95,,http://www.lcbo.com/lcbo/product/jim-beam-black-kentucky-bourbon-6-year-old/324863
Forty Creek Copper Pot Reserve Whisky,43.0%,750 mL ,,,$31.45,,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/285254
Gibson's Finest Sterling Edition Whisky,40.0%,1750 mL ,,,$61.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215038
Canadian Club Classic 12 Year Old,40.0%,1750 mL ,,,$61.95,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311944
The Macallan Gold Highland Single Malt Scotch Whisky,40.0%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/the-macallan-gold-highland-single-malt-scotch-whisky/334060
Alberta Premium Dark Horse Whisky,45.0%,750 mL ,,,$32.95,,http://www.lcbo.com/lcbo/product/alberta-premium-dark-horse-whisky/298083
Crown Royal Whisky,40.0%,1140 mL ,On sale!,$1.80,$40.15,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/217950
Maker's Mark Kentucky Bourbon,45.0%,750 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/maker-s-mark-kentucky-bourbon/103747
Jim Beam Devil's Cut,45.0%,750 mL ,,,$31.45,,http://www.lcbo.com/lcbo/product/jim-beam-devil-s-cut/272161
The Glenlivet 18 Year Old Single Malt Scotch Whisky,43.1%,750 mL ,,,$149.95,,http://www.lcbo.com/lcbo/product/the-glenlivet-18-year-old-single-malt-scotch-whisky/335901
The Balvenie 12 Year Old Doublewood Scotch Whisky,40.0%,750 mL ,,,$94.95,,http://www.lcbo.com/lcbo/product/the-balvenie-12-year-old-doublewood-scotch-whisky/387316
Té Bheag Scotch Whisky,40.0%,700 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/te-bheag-scotch-whisky/949172
Woodford Reserve Distiller's Select Bourbon,45.2%,750 mL ,,,$53.95,,http://www.lcbo.com/lcbo/product/woodford-reserve-distiller-s-select-bourbon/480624
Baker's Kentucky Straight Bourbon Whiskey,53.5%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/baker-s-kentucky-straight-bourbon-whiskey/253658
Jack Daniel's Single Barrel Whiskey,47.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-single-barrel-whiskey/480616
Bushmills Malt 10 Year Old Irish Whiskey,40.0%,750 mL ,On sale!,$3.00,$44.95,,http://www.lcbo.com/lcbo/product/bushmills-malt-10-year-old-irish-whiskey/131870
McClelland's Highland Single Malt Scotch Whisky,40.0%,750 mL ,,,$45.25,,http://www.lcbo.com/lcbo/product/mcclelland-s-highland-single-malt-scotch-whisky/259333
Glen Garioch Founder's Reserve Highland Single Malt Scotch Whisky,48.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/glen-garioch-founder-s-reserve-highland-single-malt-scotch-whisky/210252
Gibson's Finest Rare 12 Year Old Whisky,40.0%,1140 mL ,On sale!,$2.50,$44.45,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/215871
Grand Macnish,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/grand-macnish/217190
Johnnie Walker Black Label Scotch Whisky,40.0%,1140 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-scotch-whisky/217802
Ardbeg 10 Year Old Islay Scotch Whisky,46.0%,750 mL ,,,$99.95,,http://www.lcbo.com/lcbo/product/ardbeg-10-year-old-islay-scotch-whisky/560474
Walker's Special Old Whisky (PET),40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky-pet/226316
Catto's Rare Old,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/catto-s-rare-old/215558
Knob Creek Single Barrel,60.0%,750 mL ,,,$59.15,,http://www.lcbo.com/lcbo/product/knob-creek-single-barrel/255232
Johnnie Walker Red Label Scotch Whisky,40.0%,1140 mL ,On sale!,$2.00,$43.45,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/217794
Johnnie Walker Black Label Scotch Whisky,40.0%,200 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-scotch-whisky/217836
J & B Rare Scotch Whisky,40.0%,1140 mL ,,,$40.95,,http://www.lcbo.com/lcbo/product/j-b-rare-scotch-whisky/217646
Wisers Special Blend Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/wisers-special-blend-whisky/216671
Seagrams V.O. Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/216978
Gibson's Finest Rare 12 Year Old Whisky,40.0%,375 mL ,,,$18.45,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/139667
Collingwood,40.0%,750 mL ,On sale!,$2.00,$34.95,,http://www.lcbo.com/lcbo/product/collingwood/244186
J.P. Wiser's Deluxe Whisky,40.0%,1140 mL ,On sale!,$1.35,$40.10,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/216689
Jim Beam White Label Bourbon,40.0%,1140 mL ,,,$41.95,,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/217786
Alberta Springs Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/alberta-springs-whisky/216234
Four Roses Bourbon,40.0%,750 mL ,,,$31.95,,http://www.lcbo.com/lcbo/product/four-roses-bourbon/256222
Spicebox Canadian Spiced Whisky,34.8%,750 mL ,,,$28.45,,http://www.lcbo.com/lcbo/product/spicebox-canadian-spiced-whisky/258954
Jack Daniel's Tennessee Whiskey,40.0%,1140 mL ,,,$46.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215616
Glenrothes Select Reserve Single Malt Scotch Whisky,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/glenrothes-select-reserve-single-malt-scotch-whisky/57091
Bulleit Bourbon Frontier Whiskey,45.0%,750 mL ,On sale!,$3.00,$39.65,,http://www.lcbo.com/lcbo/product/bulleit-bourbon-frontier-whiskey/54866
J.P. Wiser's Deluxe Whisky,40.0%,200 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/413716
Walker's Special Old Whisky (PET),40.0%,200 mL ,,,$8.35,,http://www.lcbo.com/lcbo/product/walker-s-special-old-whisky-pet/251397
Alberta Premium Whisky (PET),40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky-pet/54213
Johnnie Walker Black Label 12 Years Old Scotch Whisky,40.0%,375 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-12-years-old-scotch-whisky/187047
Glenfiddich 18 Year Old Single Malt Scotch Whisky,40.2%,750 mL ,,,$179.95,,http://www.lcbo.com/lcbo/product/glenfiddich-18-year-old-single-malt-scotch-whisky/530352
Johnnie Walker Black Label Scotch Whisky,40.0%,750 mL ,On sale!,$3.00,$54.45,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-scotch-whisky/7880
Crown Royal Special Reserve,40.0%,750 mL ,,,$59.95,,http://www.lcbo.com/lcbo/product/crown-royal-special-reserve/321208
Glenfiddich Single Malt 12 Year Old Scotch Whisky,40.0%,375 mL ,,,$34.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-12-year-old-scotch-whisky/252312
Seagrams V.O. Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/307
Seagrams V.O. Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/31930
Johnnie Walker Red Label Scotch Whisky,40.0%,750 mL ,,,$31.45,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/1099
Canada Gold Whisky (PET),40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/canada-gold-whisky-pet/261768
Crown Royal Whisky,40.0%,750 mL ,On sale!,$3.00,$26.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/1487
