title,alcohol,volume,savings,Savings,price,link,
Sivo L'Essence du Rye,42.0%,750 ml,$8.95,25%,$26.80,https://www.saq.com/page/en/saqcom/whisky/sivo-lessence-du-rye/13064151,
Sivo L'Essence du Single-Malt,42.0%,750 ml,$11.20,25%,$33.55,https://www.saq.com/page/en/saqcom/scotch-and-whisky/sivo-lessence-du-single-malt/12729481,
Dewar's 12 Year Old Scotch Whisky,40.0%,750 mL ,$7.00,14%,$42.95,http://www.lcbo.com/lcbo/product/dewar-s-12-year-old-scotch-whisky/438598,
Knob Creek Bourbon,50.0%,750 mL ,$5.00,11%,$41.95,http://www.lcbo.com/lcbo/product/knob-creek-bourbon/326009,
J.P. Wiser's 15 Year Old Canadian Whisky,40.0%,750 mL ,$5.00,10%,$44.95,http://www.lcbo.com/lcbo/product/jp-wiser-s-15-year-old-canadian-whisky/536946,
Bushmills Red Bush,40.0%,750 ml,$3.00,8%,$32.50,https://www.saq.com/page/en/saqcom/irish-whiskey/bushmills-red-bush/13681693,
Bowmore 12 Year Old Islay Single Malt Scotch Whisky,40.0%,750 mL ,$5.00,8%,$57.20,http://www.lcbo.com/lcbo/product/bowmore-12-year-old-islay-single-malt-scotch-whisky/330803,
Bushmills Black Bush,40.0%,750 ml,$3.00,8%,$34.75,https://www.saq.com/page/en/saqcom/irish-whiskey/bushmills-black-bush/13064257,
Crown Royal Bourbon Mash,40.0%,750 mL ,$3.00,8%,$34.95,http://www.lcbo.com/lcbo/product/crown-royal-bourbon-mash/573667,
Woodford Reserve Distiller's Select,45.2%,375 mL ,$2.00,8%,$23.95,http://www.lcbo.com/lcbo/product/woodford-reserve-distiller-s-select/15537,
The Glenlivet Founder's Single malt Scotch whisky,40.0%,750 ml,$4.00,8%,$48.00,https://www.saq.com/page/en/saqcom/scotch-single-malt/the-glenlivet-founders-single-malt-scotch-whisky/12673675,
Bulleit Rye,45.0%,750 mL ,$3.00,7%,$37.30,http://www.lcbo.com/lcbo/product/bulleit-rye/350611,
J.P. Wiser's Apple Whisky,35.0%,750 mL ,$2.00,7%,$26.95,http://www.lcbo.com/lcbo/product/jp-wiser-s-apple-whisky/474585,
Crown Royal Apple,35.0%,750 mL ,$2.00,7%,$27.95,http://www.lcbo.com/lcbo/product/crown-royal-apple/403519,
Crown Royal Vanilla,35.0%,750 mL ,$2.00,7%,$27.95,http://www.lcbo.com/lcbo/product/crown-royal-vanilla/476911,
Kavi Reserve Coffee Blended Canadian Whisky,36.2%,750 mL ,$2.00,7%,$27.95,http://www.lcbo.com/lcbo/product/kavi-reserve-coffee-blended-canadian-whisky/497891,
"Liquormen's Dirty Ol Canadian Whisky, Trailer Park Boys",40.0%,750 mL ,$2.00,7%,$28.10,http://www.lcbo.com/lcbo/product/liquormen-s-dirty-ol-canadian-whisky-trailer-park-boys/480442,
Forty Creek Copper Pot Reserve Whisky,43.0%,750 mL ,$2.00,6%,$28.95,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/285254,
J.P. Wiser's Triple Barrel Rye Whisky,43.4%,750 mL ,$2.00,6%,$29.95,http://www.lcbo.com/lcbo/product/jp-wiser-s-triple-barrel-rye-whisky/536870,
Bushmills Original,40.0%,750 ml,$2.00,6%,$30.50,https://www.saq.com/page/en/saqcom/irish-whiskey/bushmills-original/10753874,
Macallan 12 Year Old Double Cask,40.0%,750 mL ,$6.00,6%,$92.60,http://www.lcbo.com/lcbo/product/macallan-12-year-old-double-cask/479980,
Twelve Barrels,40.0%,750 mL ,$2.00,6%,$32.95,http://www.lcbo.com/lcbo/product/twelve-barrels/546853,
Jameson Limited Edition,40.0%,750 ml,$2.00,6%,$33.00,https://www.saq.com/page/en/saqcom/irish-whiskey/jameson-limited-edition/12828841,
Bulleit Bourbon,45.0%,375 mL ,$1.00,5%,$20.60,http://www.lcbo.com/lcbo/product/bulleit-bourbon/482729,
Forty Creek Copper Pot Reserve Whisky (PET),43.0%,1750 mL ,$2.90,5%,$60.05,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky-pet/397091,
Jameson Irish Whiskey,40.0%,750 mL ,$1.50,4%,$33.75,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/10157,
Spicebox Canadian Spiced Whisky,34.8%,750 mL ,$1.00,4%,$27.45,http://www.lcbo.com/lcbo/product/spicebox-canadian-spiced-whisky/258954,
Canadian Club Whisky,40.0%,375 mL ,$0.50,3%,$14.95,http://www.lcbo.com/lcbo/product/canadian-club-whisky/463,
J.P. Wiser's Deluxe Whisky,40.0%,1750 mL ,$1.00,2%,$60.45,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/33928,
The Glenlivet French Oak Reserve 15 Year Old Single Malt Scotch Whisky,40.00%,750 mL ,,,$89.95,http://www.lcbo.com/lcbo/product/the-glenlivet-french-oak-reserve-15-year-old-single-malt-scotch-whisky/603050,
The Famous Grouse Scotch Whisky,40.00%,750 mL ,,,$29.95,http://www.lcbo.com/lcbo/product/the-famous-grouse-scotch-whisky/52050,
Gibson's Finest Venerable 18 Year Old Whisky,40.00%,750 mL ,,,$89.95,http://www.lcbo.com/lcbo/product/gibson-s-finest-venerable-18-year-old-whisky/469114,
Centennial 10 Year Old Limited Edition Rye,40.00%,750 mL ,,,$27.85,http://www.lcbo.com/lcbo/product/centennial-10-year-old-limited-edition-rye/387209,
Jim Beam Devil's Cut,45.00%,750 mL ,,,$31.65,http://www.lcbo.com/lcbo/product/jim-beam-devil-s-cut/272161,
Dewar's White Label Scotch Whisky,40.00%,750 mL ,,,$26.70,http://www.lcbo.com/lcbo/product/dewar-s-white-label-scotch-whisky/11130,
Bell's Original Scotch Whisky,39.90%,750 mL ,,,$26.70,http://www.lcbo.com/lcbo/product/bell-s-original-scotch-whisky/8599,
Glenmorangie Original Highland Single Malt Scotch Whisky,40.00%,750 mL ,,,$72.35,http://www.lcbo.com/lcbo/product/glenmorangie-original-highland-single-malt-scotch-whisky/298638,
The Macallan Gold Highland Single Malt Scotch Whisky,40.00%,750 mL ,,,$73.85,http://www.lcbo.com/lcbo/product/the-macallan-gold-highland-single-malt-scotch-whisky/334060,
Crown Royal Whisky,40.00%,1140 mL ,,,$41.95,http://www.lcbo.com/lcbo/product/crown-royal-whisky/217950,
Canadian Club Reserve,40.00%,750 mL ,,,$28.45,http://www.lcbo.com/lcbo/product/canadian-club-reserve/311977,
Crown Royal Black Whisky,45.00%,1140 mL ,,,$44.95,http://www.lcbo.com/lcbo/product/crown-royal-black-whisky/276618,
Canadian Club Classic 12 Year Old,40.00%,1140 mL ,,,$41.95,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311936,
Crown Royal Maple Finished,40.00%,750 mL ,,,$29.95,http://www.lcbo.com/lcbo/product/crown-royal-maple-finished/312801,
Johnnie Walker Black Label Scotch Whisky,40.00%,1750 mL ,,,$113.45,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label-scotch-whisky/422006,
Canadian Club Classic 12 Year Old,40.00%,375 mL ,,,$16.35,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311910,
The Glenlivet Founder's Reserve Scotch Whisky,40.00%,750 mL ,,,$52.95,http://www.lcbo.com/lcbo/product/the-glenlivet-founder-s-reserve-scotch-whisky/410043,
Jim Beam Red Stag Black Cherry,35.00%,750 mL ,,,$28.25,http://www.lcbo.com/lcbo/product/jim-beam-red-stag-black-cherry/420083,
Evan Williams Bottled In Bond Kentucky Bourbon,50.00%,750 mL ,,,$36.95,http://www.lcbo.com/lcbo/product/evan-williams-bottled-in-bond-kentucky-bourbon/399915,
Green Spot Irish Whiskey,40.00%,700 mL ,,,$84.70,http://www.lcbo.com/lcbo/product/green-spot-irish-whiskey/699827,
Tyrconnell Madeira Cask Single Malt Irish Whiskey,46.00%,750 mL ,,,$79.45,http://www.lcbo.com/lcbo/product/tyrconnell-madeira-cask-single-malt-irish-whiskey/317586,
The Glenlivet Archive 21 Year Old Scotch Whisky,43.00%,750 mL ,,,$259.40,http://www.lcbo.com/lcbo/product/the-glenlivet-archive-21-year-old-scotch-whisky/12856,
Singleton Of Dufftown 12 Year Old Single Malt Scotch Whisky,40.00%,750 mL ,,,$59.95,http://www.lcbo.com/lcbo/product/singleton-of-dufftown-12-year-old-single-malt-scotch-whisky/409490,
Auchentoshan American Oak Single Malt Scotch Whisky,40.00%,750 mL ,,,$56.95,http://www.lcbo.com/lcbo/product/auchentoshan-american-oak-single-malt-scotch-whisky/395582,
Craigellachie 13 Year Old Speyside Single Malt Scotch Whisky,46.00%,750 mL ,,,$79.45,http://www.lcbo.com/lcbo/product/craigellachie-13-year-old-speyside-single-malt-scotch-whisky/400069,
Aultmore 12 Year Old Speyside Single Malt Scotch Whisky,46.00%,750 mL ,,,$79.95,http://www.lcbo.com/lcbo/product/aultmore-12-year-old-speyside-single-malt-scotch-whisky/417840,
Crown Royal Whisky (PET),40.00%,200 mL ,,,$9.55,http://www.lcbo.com/lcbo/product/crown-royal-whisky-pet/416388,
Tomatin 12 Year Old Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$60.45,http://www.lcbo.com/lcbo/product/tomatin-12-year-old-highland-single-malt-scotch-whisky/364349,
Craigellachie 17 Year Old Speyside Single Malt Scotch Whisky,46.00%,750 mL ,,,$151.60,http://www.lcbo.com/lcbo/product/craigellachie-17-year-old-speyside-single-malt-scotch-whisky/400077,
J.P. Wiser's Deluxe Whisky,40.00%,375 mL ,,,$15.95,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/9522,
Forty Creek Spike Honey Spiced Whisky,40.00%,750 mL ,,,$28.95,http://www.lcbo.com/lcbo/product/forty-creek-spike-honey-spiced-whisky/397109,
Canadian Club 100% Rye,40.00%,750 mL ,,,$28.95,http://www.lcbo.com/lcbo/product/canadian-club-100-rye/390583,
Port Charlotte Scottish Barley Heavily Peated Islay Single Malt Scotch Whisky,50.00%,750 mL ,,,$108.45,http://www.lcbo.com/lcbo/product/port-charlotte-scottish-barley-heavily-peated-islay-single-malt-scotch-whisky/368183,
Bruichladdich The Classic Laddie Scottish Barley,50.00%,750 mL ,,,$69.95,http://www.lcbo.com/lcbo/product/bruichladdich-the-classic-laddie-scottish-barley/387423,
Highland Park 18 Year Old Single Malt Scotch Whisky,43.00%,750 mL ,,,$195.80,http://www.lcbo.com/lcbo/product/highland-park-18-year-old-single-malt-scotch-whisky/500231,
Lot No. 40 Single Copper Pot Still Canadian Whisky,43.00%,750 mL ,,,$39.95,http://www.lcbo.com/lcbo/product/lot-no-40-single-copper-pot-still-canadian-whisky/382861,
Glengoyne 15 Year Old Highland Single Malt Scotch Whisky,43.00%,750 mL ,,,$109.95,http://www.lcbo.com/lcbo/product/glengoyne-15-year-old-highland-single-malt-scotch-whisky/367474,
Ninety Canadian Rye Whisky 20 Year Old,45.00%,750 mL ,,,$58.35,http://www.lcbo.com/lcbo/product/ninety-canadian-rye-whisky-20-year-old/355644,
Talisker Storm Single Malt Scotch Whisky,46.00%,750 mL ,,,$88.50,http://www.lcbo.com/lcbo/product/talisker-storm-single-malt-scotch-whisky/383216,
Deanston Virgin Oak,46.30%,750 mL ,,,$49.95,http://www.lcbo.com/lcbo/product/deanston-virgin-oak/375568,
Highland Park 10 Year Old Single Malt Scotch Whisky,40.00%,750 mL ,,,$59.95,http://www.lcbo.com/lcbo/product/highland-park-10-year-old-single-malt-scotch-whisky/334029,
Jameson Irish Whiskey,40.00%,200 mL ,,,$10.45,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/320804,
George Dickel Tennessee Whisky No. 12,45.00%,750 mL ,,,$31.95,http://www.lcbo.com/lcbo/product/george-dickel-tennessee-whisky-no-12/260752,
West Cork Bourbon Cask Irish Whiskey,40.00%,700 mL ,,,$44.05,http://www.lcbo.com/lcbo/product/west-cork-bourbon-cask-irish-whiskey/367722,
Jameson Black Barrel,40.00%,750 mL ,,,$49.95,http://www.lcbo.com/lcbo/product/jameson-black-barrel/292615,
Jameson Irish Whiskey,40.00%,1750 mL ,,,$69.95,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/275933,
Johnnie Walker Blue Label Scotch Whisky,40.00%,750 mL ,,,$299.95,http://www.lcbo.com/lcbo/product/johnnie-walker-blue-label-scotch-whisky/308155,
Laphroaig Quarter Cask Islay Single Malt Scotch Whisky,48.00%,750 mL ,,,$83.80,http://www.lcbo.com/lcbo/product/laphroaig-quarter-cask-islay-single-malt-scotch-whisky/19158,
Tullamore Irish Whiskey,40.00%,750 mL ,,,$35.25,http://www.lcbo.com/lcbo/product/tullamore-irish-whiskey/71746,
Jameson Irish Whiskey,40.00%,1140 mL ,,,$48.45,http://www.lcbo.com/lcbo/product/jameson-irish-whiskey/207613,
Buffalo Trace Kentucky Straight Bourbon Whiskey,45.00%,750 mL ,,,$42.95,http://www.lcbo.com/lcbo/product/buffalo-trace-kentucky-straight-bourbon-whiskey/605063,
Bowmore Darkest 15 Year Old Islay Single Malt Scotch Whisky,43.00%,750 mL ,,,$95.95,http://www.lcbo.com/lcbo/product/bowmore-darkest-15-year-old-islay-single-malt-scotch-whisky/503649,
Elijah Craig Small Batch Bourbon Whiskey,47.00%,750 mL ,,,$47.95,http://www.lcbo.com/lcbo/product/elijah-craig-small-batch-bourbon-whiskey/547729,
Writers Tears Copper Pot Irish Whiskey,40.00%,700 mL ,,,$49.95,http://www.lcbo.com/lcbo/product/writers-tears-copper-pot-irish-whiskey/271106,
Kilbeggan Irish Whiskey,40.00%,750 mL ,,,$36.40,http://www.lcbo.com/lcbo/product/kilbeggan-irish-whiskey/334045,
Maker's Mark 46,46.40%,750 mL ,,,$64.95,http://www.lcbo.com/lcbo/product/maker-s-mark-46/225565,
Glenfiddich 14 Year Old Rich Oak Single Malt Scotch Whisky,40.00%,750 mL ,,,$69.95,http://www.lcbo.com/lcbo/product/glenfiddich-14-year-old-rich-oak-single-malt-scotch-whisky/315788,
Canadian Club Classic 12 Year Old,40.00%,750 mL ,,,$29.95,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311928,
Stalk & Barrel Single Malt Whisky,46.00%,750 mL ,,,$69.95,http://www.lcbo.com/lcbo/product/stalk-barrel-single-malt-whisky/382770,
Wild Turkey 81 Proof Kentucky Straight Bourbon,40.50%,750 mL ,,,$36.20,http://www.lcbo.com/lcbo/product/wild-turkey-81-proof-kentucky-straight-bourbon/281824,
Dalwhinnie 15 Year Old Single Highland Malt Scotch Whisky,43.00%,750 mL ,,,$99.95,http://www.lcbo.com/lcbo/product/dalwhinnie-15-year-old-single-highland-malt-scotch-whisky/238097,
The Balvenie 12 Year Old Single Barrel Scotch Whisky,47.80%,750 mL ,,,$151.90,http://www.lcbo.com/lcbo/product/the-balvenie-12-year-old-single-barrel-scotch-whisky/361055,
Gibson's Finest Sterling Edition Whisky,40.00%,1750 mL ,,,$61.95,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215038,
Canadian Club Classic 12 Year Old,40.00%,1750 mL ,,,$61.95,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311944,
Johnnie Walker Red Label Scotch Whisky,40.00%,200 mL ,,,$9.95,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/217984,
Lagavulin 16 Year Old Islay Single Malt Scotch Whisky,42.90%,750 mL ,,,$130.00,http://www.lcbo.com/lcbo/product/lagavulin-16-year-old-islay-single-malt-scotch-whisky/207126,
Jim Beam Black Kentucky Bourbon 6 Year Old,43.00%,750 mL ,,,$33.90,http://www.lcbo.com/lcbo/product/jim-beam-black-kentucky-bourbon-6-year-old/324863,
Chivas Regal 12 Year Old Scotch Whisky,40.00%,750 mL ,,,$54.95,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/7617,
Johnnie Walker Gold Label Reserve Scotch Whisky,40.00%,750 mL ,,,$85.95,http://www.lcbo.com/lcbo/product/johnnie-walker-gold-label-reserve-scotch-whisky/291278,
Alberta Premium Dark Horse Whisky,45.00%,750 mL ,,,$32.95,http://www.lcbo.com/lcbo/product/alberta-premium-dark-horse-whisky/298083,
Grant's Family Reserve Scotch Whisky,40.00%,200 mL ,,,$9.00,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/476382,
Cardhu 12 Year Old Single Malt Scotch Whisky,40.00%,750 mL ,,,$76.95,http://www.lcbo.com/lcbo/product/cardhu-12-year-old-single-malt-scotch-whisky/289496,
Islay Mist Scotch 8 Year Old Scotch Whisky,40.00%,750 mL ,,,$32.95,http://www.lcbo.com/lcbo/product/islay-mist-scotch-8-year-old-scotch-whisky/333070,
