title,alcohol,volume,savings,%,price,link
Sivo L'Essence du Rye,42%,750 ml,$8.95,25%,$26.80,https://www.saq.com/page/en/saqcom/whisky/sivo-lessence-du-rye/13064151
Sivo L'Essence du Single-Malt,42%,750 ml,$11.20,25%,$33.55,https://www.saq.com/page/en/saqcom/scotch-and-whisky/sivo-lessence-du-single-malt/12729481
Bulleit Frontier Bourbon,45%,750 ml,$4.00,11%,$32.75,https://www.saq.com/page/en/saqcom/american-whiskey/bulleit-frontier-bourbon/11155956
Bulleit Rye,45%,750 ml,$3.50,10%,$31.75,https://www.saq.com/page/en/saqcom/whisky/bulleit-rye/12730271
Jameson Caskmates,40%,750 ml,$3.50,9%,$36.50,https://www.saq.com/page/en/saqcom/irish-whiskey/jameson-caskmates/12729798
Jameson,40%,750 ml,$2.50,7%,$32.50,https://www.saq.com/page/en/saqcom/irish-whiskey/jameson/10157
Bowmore 12 ans Islay Scotch Single Malt,40%,750 ml,$4.00,6%,$58.75,https://www.saq.com/page/en/saqcom/scotch-single-malt/bowmore-12-ans-islay-scotch-single-malt/330803
Canadian Club 100% Rye,40%,750 ml,$1.60,6%,$24.65,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-100-rye/12592980
Jameson Limited Edition,40%,750 ml,$2.00,6%,$33.00,https://www.saq.com/page/en/saqcom/irish-whiskey/jameson-limited-edition/12828841
Jameson,40%,375 ml,$1.00,6%,$16.75,https://www.saq.com/page/en/saqcom/irish-whiskey/jameson/230987
Canadian Club Premium,40%,1.14 L,$2.00,5%,$34.50,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-premium/11495424
Jim Beam Sour Mash Kentucky Straight Bourbon,40%,1.14 L,$2.00,5%,$36.25,https://www.saq.com/page/en/saqcom/american-whiskey/jim-beam-sour-mash-kentucky-straight-bourbon/11495512
Canadian Club Premium,40%,750 ml,$1.00,4%,$23.25,https://www.saq.com/page/en/saqcom/canadian-whisky/canadian-club-premium/42
Jim Beam Sour Mash Kentucky Straight Bourbon,40%,750 ml,$1.00,4%,$26.75,https://www.saq.com/page/en/saqcom/american-whiskey/jim-beam-sour-mash-kentucky-straight-bourbon/11975399
