title,alcohol,volume,savings,%,price,link
Barrelling Annie's Canadian Whisky,40.00%,750 mL ,$2.00,6%,$29.90,http://www.lcbo.com/lcbo/product/barrelling-annie-s-canadian-whisky/498352
Bulleit Bourbon Frontier Whiskey,45.00%,750 mL ,$3.00,8%,$36.95,http://www.lcbo.com/lcbo/product/bulleit-bourbon-frontier-whiskey/54866
Canadian Club 100% Rye,40.00%,750 mL ,$2.00,7%,$26.95,http://www.lcbo.com/lcbo/product/canadian-club-100-rye/390583
Canadian Club Whisky,40.00%,1750 mL ,$1.00,2%,$60.00,http://www.lcbo.com/lcbo/product/canadian-club-whisky/34637
Crown Royal,40.00%,1140 mL ,$1.50,4%,$40.45,http://www.lcbo.com/lcbo/product/crown-royal/217950
Crown Royal Vanilla,35.00%,750 mL ,$2.00,7%,$27.95,http://www.lcbo.com/lcbo/product/crown-royal-vanilla/476911
Forty Creek Copper Pot Reserve Whisky,43.00%,750 mL ,$2.00,6%,$29.95,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/285254
J.P. Wiser's Deluxe,40.00%,1140 mL ,$1.00,2%,$40.10,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe/216689
J.P. Wiser's Deluxe Whisky,40.00%,1750 mL ,$1.00,2%,$60.00,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/33928
Jameson Limited Edition,40%,750 ml,$2.00,6%,$33.00,https://www.saq.com/page/en/saqcom/irish-whiskey/jameson-limited-edition/12828841
Johnnie Walker Red Label Scotch Whisky,40.00%,750 mL ,$2.00,7%,$27.95,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/1099
Singleton Tailfire,40.00%,750 mL ,$5.00,10%,$44.95,http://www.lcbo.com/lcbo/product/singleton-tailfire/539361
Wild Turkey 81 Proof Kentucky Straight Bourbon,40.50%,750 mL ,$2.00,6%,$30.75,http://www.lcbo.com/lcbo/product/wild-turkey-81-proof-kentucky-straight-bourbon/281824
Woodford Reserve Distiller's Select,45.20%,750 mL ,$3.00,6%,$46.95,http://www.lcbo.com/lcbo/product/woodford-reserve-distiller-s-select/480624
Glenfiddich Single Malt 18 Year Old Scotch Whisky,40.20%,750 mL ,,$153.65,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-18-year-old-scotch-whisky/530352
Alberta Premium Whisky,40.00%,750 mL ,,$26.70,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/984
Royal Reserve Whisky,40.00%,1750 mL ,,$60.00,,http://www.lcbo.com/lcbo/product/royal-reserve-whisky/61564
Bushmills Irish Whiskey,40.00%,750 mL ,,$33.00,,http://www.lcbo.com/lcbo/product/bushmills-irish-whiskey/14910
Alberta Springs Whisky,40.00%,1750 mL ,,$60.00,,http://www.lcbo.com/lcbo/product/alberta-springs-whisky/461434
Canadian Club Whisky,40.00%,375 mL ,,$15.45,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/463
